PaymentPlan,Date,Duration,Occasion,Distance_Miles,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Subscriber,2019-07-01,00:07:56,Normal Thursday,0.9,45.51844688,-122.651685,45.529259,-122.6536764
Casual,2019-07-01,00:08:24,Normal Thursday,1.19,45.53083126,-122.6815957,45.52487653,-122.6965141
Subscriber,2019-07-01,00:07:46,Normal Thursday,0.68,45.53508224,-122.6505639,45.53140997,-122.6574612
Subscriber,2019-07-01,00:09:32,Normal Thursday,1.3,45.5285184,-122.6904563,45.5153551,-122.6818058
Casual,2019-07-01,00:45:12,Normal Thursday,4.1,45.512867,-122.67487,45.512867,-122.67487
Casual,2019-07-01,00:14:52,Normal Thursday,2.23,45.5314984,-122.6566013,45.512867,-122.67487
Subscriber,2019-07-01,00:05:00,Normal Thursday,0.24,45.5245495,-122.6734472,45.52269573,-122.6703492
Subscriber,2019-07-01,00:05:22,Normal Thursday,0.43,45.5360712,-122.6852715,45.53142501,-122.6895659
Subscriber,2019-07-01,00:04:49,Normal Thursday,0.31,45.523048,-122.6774256,45.5245495,-122.6734472
Casual,2019-07-01,00:22:44,Normal Thursday,3.02,45.5111947,-122.6805467,45.51202353,-122.6363119
Casual,2019-07-01,00:08:06,Normal Thursday,0.65,45.51147657,-122.6662856,45.51556831,-122.6738924
Casual,2019-07-01,00:06:23,Normal Thursday,0.58,45.52634601,-122.6941484,45.52196048,-122.6896772
Subscriber,2019-07-01,00:09:39,Normal Thursday,2.02,45.54471503,-122.6667845,45.51928859,-122.6792488
Casual,2019-07-01,00:05:29,Normal Thursday,0.53,45.52269573,-122.6703492,45.5282107,-122.673371
Casual,2019-07-01,00:07:48,Normal Thursday,1.18,45.51844688,-122.651685,45.51782551,-122.6724963
Casual,2019-07-01,00:07:48,Normal Thursday,1.13,45.5341466,-122.6947255,45.52579919,-122.6855063
Casual,2019-07-01,00:15:32,Normal Thursday,1.67,45.512867,-122.67487,45.52579919,-122.6855063
Casual,2019-07-01,00:06:23,Normal Thursday,0.86,45.5282777,-122.6766282,45.53715171,-122.6881027
Casual,2019-07-01,00:09:58,Normal Thursday,1.28,45.49913657,-122.6716433,45.51556831,-122.6738924
Subscriber,2019-07-01,00:09:22,Normal Thursday,1.03,45.51816567,-122.6924908,45.50936198,-122.6812121
Casual,2019-07-01,00:22:02,Normal Thursday,2.96,45.5048055,-122.6346596,45.52358836,-122.6619177
Casual,2019-07-01,00:17:26,Normal Thursday,3.63,45.55941042,-122.6685226,45.5123205,-122.6789108
Casual,2019-07-01,00:06:52,Normal Thursday,1.11,45.52487653,-122.6965141,45.53290424,-122.68626
Casual,2019-07-01,00:03:20,Normal Thursday,0.38,45.5771334,-122.6901172,45.5795456,-122.6822059
Subscriber,2019-07-01,00:03:33,Normal Thursday,0.21,45.52487653,-122.6965141,45.52331306,-122.6932633
Casual,2019-07-01,00:05:29,Normal Thursday,0.66,45.527931,-122.6495171,45.53140997,-122.6574612
Subscriber,2019-07-01,00:04:35,Normal Thursday,0.47,45.52862062,-122.6905073,45.52196048,-122.6896772
Subscriber,2019-07-01,00:09:38,Normal Thursday,0.21,45.52269573,-122.6703492,45.5231095,-122.6702964
Casual,2019-07-01,00:06:58,Normal Thursday,0.89,45.51782551,-122.6724963,45.5178988,-122.6600522
Casual,2019-07-01,00:17:43,Normal Thursday,2.97,45.5627231,-122.6490744,45.5284672,-122.656532
Casual,2019-07-01,00:06:13,Normal Thursday,1.04,45.52331306,-122.6932633,45.52378902,-122.6747386
Casual,2019-07-01,00:13:22,Normal Thursday,2.77,45.55645437,-122.6603794,45.52507854,-122.6775563
Casual,2019-07-01,00:07:20,Normal Thursday,1.09,45.52634601,-122.6941484,45.5180198,-122.6803585
Casual,2019-07-01,00:10:54,Normal Thursday,2.11,45.50468892,-122.6345551,45.5027677,-122.6714408
Casual,2019-07-01,00:06:54,Normal Thursday,1.09,45.52487653,-122.6965141,45.5204119,-122.6778923
Subscriber,2019-07-01,00:08:15,Normal Thursday,0.82,45.5263984,-122.6893626,45.5204119,-122.6778923
Casual,2019-07-01,00:04:25,Normal Thursday,0.57,45.52487653,-122.6965141,45.52579919,-122.6855063
Casual,2019-07-01,00:09:16,Normal Thursday,1.14,45.51898132,-122.6812685,45.51147657,-122.6662856
Casual,2019-07-01,00:05:55,Normal Thursday,0.82,45.51592353,-122.6833123,45.52507854,-122.6775563
Casual,2019-07-01,00:02:42,Normal Thursday,0.22,45.5231391,-122.6723799,45.52247868,-122.6732969
Casual,2019-07-01,00:05:33,Normal Thursday,0.72,45.523547,-122.6892567,45.5335083,-122.6906418
Casual,2019-07-01,00:09:01,Normal Thursday,1.18,45.50910258,-122.6735169,45.5211726,-122.6763654
Casual,2019-07-01,00:05:06,Normal Thursday,0.68,45.52196048,-122.6896772,45.5173536,-122.6807202
Subscriber,2019-07-01,00:04:28,Normal Thursday,0.62,45.51515295,-122.665776,45.5229602,-122.6627544
Subscriber,2019-07-01,00:51:57,Normal Thursday,0.89,45.5252863,-122.6724697,45.5252863,-122.6724697
Subscriber,2019-07-01,00:18:47,Normal Thursday,2.81,45.55941042,-122.6685226,45.5239044,-122.6702935
Casual,2019-07-01,00:12:48,Normal Thursday,1.47,45.49913657,-122.6716433,45.51782551,-122.6724963
Casual,2019-07-01,00:23:06,Normal Thursday,3.84,45.504732,-122.62528,45.5211726,-122.6763654
Subscriber,2019-07-01,00:13:43,Normal Thursday,2.12,45.5121086,-122.645245,45.49913657,-122.6716433
Casual,2019-07-01,00:20:07,Normal Thursday,3.46,45.5546279,-122.6755257,45.5136471,-122.6546965
Casual,2019-07-01,00:53:28,Normal Thursday,1.98,45.52500056,-122.6811048,45.52181825,-122.7044079
Casual,2019-07-01,00:04:18,Normal Thursday,0.37,45.5299441,-122.6905093,45.52976024,-122.6966429
Casual,2019-07-01,00:14:00,Normal Thursday,2.3,45.52871176,-122.674166,45.49913657,-122.6716433
Subscriber,2019-07-01,00:09:17,Normal Thursday,0.89,45.51844688,-122.651685,45.5229602,-122.6627544
Casual,2019-07-01,00:03:07,Normal Thursday,0.26,45.5164892,-122.6516344,45.51636144,-122.6460457
Casual,2019-07-01,00:12:19,Normal Thursday,1.26,45.53290424,-122.68626,45.51816567,-122.6924908
Casual,2019-07-01,00:10:50,Normal Thursday,1.36,45.49913657,-122.6716433,45.51556831,-122.6738924
Casual,2019-07-01,00:05:34,Normal Thursday,0.67,45.52536699,-122.6725459,45.52579919,-122.6855063
Casual,2019-07-01,00:15:00,Normal Thursday,2.09,45.50280906,-122.6535398,45.51928859,-122.6792488
Casual,2019-07-01,00:17:46,Normal Thursday,2.69,45.537438,-122.644822,45.5206847,-122.6789069
Casual,2019-07-01,00:11:09,Normal Thursday,1.34,45.5282777,-122.6766282,45.5123205,-122.6789108
Subscriber,2019-07-01,00:20:25,Normal Thursday,2.77,45.5120818,-122.6533493,45.53083126,-122.6815957
Subscriber,2019-07-01,00:09:02,Normal Thursday,0.81,45.52196048,-122.6896772,45.5335269,-122.6896275
Casual,2019-07-01,00:13:57,Normal Thursday,1.46,45.5335083,-122.6906418,45.51898132,-122.6812685
Subscriber,2019-07-01,00:08:37,Normal Thursday,1.11,45.52862062,-122.6905073,45.51889487,-122.6774061
Subscriber,2019-07-01,00:21:44,Normal Thursday,3.1,45.511907,-122.6294804,45.50936198,-122.6812121
Subscriber,2019-07-01,00:06:00,Normal Thursday,0.65,45.51507401,-122.6870298,45.51928859,-122.6792488
Casual,2019-07-01,00:07:18,Normal Thursday,0.94,45.5360712,-122.6852715,45.5339977,-122.7028009
Casual,2019-07-01,00:07:44,Normal Thursday,0.67,45.5264728,-122.685306,45.5211726,-122.6763654
Subscriber,2019-07-01,00:14:54,Normal Thursday,0.76,45.51816567,-122.6924908,45.52634601,-122.6941484
Casual,2019-07-01,00:18:13,Normal Thursday,3.31,45.54998583,-122.6756573,45.51147657,-122.6662856
Subscriber,2019-07-01,00:07:02,Normal Thursday,0.97,45.5266354,-122.6765624,45.5366204,-122.6862613
Casual,2019-07-01,00:09:22,Normal Thursday,1.49,45.5299294,-122.6753219,45.533359,-122.6987561
Subscriber,2019-07-01,00:07:38,Normal Thursday,2.1,45.53550403,-122.7006608,45.53080401,-122.6844227
