NEWID,PRINEARN,FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
03530921,01,25369.341,35924,1,3,11,12,87,87,1,2,1,1,2,2,1,1,3,1,12,369.667,1548.9333,216.6667,280,668.6,22,0,0,NA,NA,1,2,2,8,NA,NA,8,0,,,13,5,0,NA,NA,NA,01,2,,
03530941,01,27798.489,80130,1,4,16,,39,NA,2,NA,1,NA,2,NA,7,3,4,1,16,1709,4561.6666,401.3333,1030.6667,268,296,0,0,NA,NA,4,3,3,6,50,NA,4,3,01,,06,9,7263,NA,NA,NA,08,2,,
03530971,02,24171.421,370600,1,1,15,16,35,36,2,1,1,1,2,2,3,1,3,1,16,5973.667,17226.1667,667.3333,500,670,50,4700,0,NA,NA,1,5,2,12,40,60,2,2,10,03,24,5,70458,NA,NA,NA,01,2,,
03531004,02,18262.243,86000,1,2,13,,26,NA,1,NA,1,NA,2,NA,9,3,4,1,15,2181,4968.5833,883.3333,359,240,493,0,0,26,2000,4,2,2,5,40,NA,4,2,05,,08,8,12738,NA,NA,NA,08,2,,
03531011,01,26179.087,27228,1,2,11,,52,NA,1,NA,1,NA,2,NA,6,2,3,1,11,863,1447.5833,327.6667,124.3333,0,30,0,95.3333,NA,NA,4,2,1,5,30,NA,1,1,12,,37,5,-388,NA,NA,NA,04,2,,
03531021,01,29711.287,37000,1,2,15,,27,NA,1,NA,2,NA,2,NA,8,5,3,1,15,420.167,1440.75,325,215,30,123,0,21.6667,NA,NA,2,1,1,5,45,NA,1,1,08,,37,5,5210,NA,NA,NA,02,2,,
03531051,01,17484.769,144000,1,1,15,15,38,35,1,2,1,1,2,2,2,1,1,1,15,2643,5905.5833,1254.6667,355,0,115,0,173.3333,NA,NA,4,3,1,5,45,20,2,2,03,03,34,2,26311,NA,NA,NA,08,2,,
03531061,01,43928.791,170000,2,5,13,13,58,61,2,1,1,1,2,2,1,1,3,2,13,576.833,3552.706,758.3333,208,-228,248,0,52,NA,NA,1,2,2,5,40,50,2,2,01,01,,NA,28975,NA,NA,NA,01,2,,
03531074,01,23168.603,0,1,3,13,,22,NA,1,NA,1,NA,2,NA,8,5,1,1,13,785,1299.3333,368.3333,60,0,22,0,0,NA,0,4,1,1,5,NA,NA,8,0,,,25,1,1455,NA,NA,NA,08,2,,
03531084,01,14082.991,15862,1,5,13,,78,NA,2,NA,1,NA,2,NA,8,2,NA,1,13,2110.333,3113.1333,186.3333,45,430.8,30,0,0,NA,NA,4,1,1,1,NA,NA,8,0,,,,NA,0,NA,NA,NA,08,2,,
03531091,01,52624.649,1,1,3,13,,19,NA,1,NA,1,NA,2,NA,8,4,3,1,13,0,155.6667,39,17.6667,0,94,0,0,NA,NA,6,1,0,NA,NA,NA,8,0,,,45,5,0,NA,NA,NA,10,1,,
03531101,01,21436.989,39748,1,1,16,14,68,65,2,1,1,1,2,2,1,1,2,1,16,18011.667,21590.2667,1300,1070,603.6,445,0,0,NA,NA,2,2,5,7,NA,NA,8,0,,,17,3,0,NA,NA,NA,01,2,,
03531111,02,15758.93,126000,1,4,14,11,43,39,2,1,1,1,2,2,5,1,2,1,14,1353,3875.4166,411.6667,260,485,120,0,0,NA,NA,4,3,5,5,40,42,3,3,03,11,55,3,17649,NA,NA,NA,01,2,,
03531141,01,14507.361,34400,1,3,13,,39,NA,2,NA,1,NA,2,NA,7,3,4,1,13,1725,3016.95,555,253.6667,243.6,0,0,0,NA,NA,4,4,2,4,30,NA,4,2,02,,49,8,-4987,NA,NA,NA,05,2,,
03531171,02,2549.071,145120,1,4,16,16,45,47,2,1,1,1,2,2,3,1,4,1,16,2309.667,8343.0834,1603.3333,587,0,720,500,0,NA,NA,1,5,3,8,NA,50,5,1,,03,02,9,17013,NA,NA,NA,01,2,,
03531221,01,18826.254,72500,1,2,15,14,31,26,1,2,1,4,2,2,1,1,4,1,15,2904.667,4611.8333,476.6667,121,0,189,0,0,NA,NA,1,2,3,6,70,40,2,2,15,05,06,9,4370,NA,NA,NA,01,2,,
03531241,02,18499.063,510359,1,3,16,16,64,64,2,1,1,1,2,2,5,1,4,1,16,1862,17539.1666,780,620.3333,601.6667,462,0,0,NA,NA,2,4,5,12,40,60,3,4,03,03,49,8,95801,NA,NA,NA,01,2,,
03531271,02,20401.601,165000,1,2,15,13,50,52,1,2,1,1,2,1,4,1,3,1,15,2004,6218.4167,866.6667,292.6667,0,362,0,86.6667,NA,NA,1,3,3,8,40,40,2,2,01,01,51,5,32091,NA,NA,NA,03,2,,
03531281,01,25309.849,94200,1,2,13,13,45,53,1,2,1,2,2,2,1,1,4,1,13,1351,4746.0834,693.3333,338,410.6667,437,0,130,NA,NA,4,2,2,6,40,40,2,2,01,04,32,8,9948,NA,NA,NA,02,2,,
03531291,01,16540.384,30442,1,2,12,,65,NA,1,NA,2,NA,2,NA,8,1,3,1,12,1373.5,4039.45,303.3333,372,215.8,1190,0,0,NA,NA,1,1,2,5,40,NA,1,1,13,,01,6,7694,NA,NA,NA,03,2,,
03531311,01,18729.709,132000,1,2,15,13,31,30,2,1,1,1,2,2,2,1,4,1,15,2765,7848.6666,976.6667,944,591.6667,168,0,0,NA,NA,4,4,1,8,40,56,2,2,03,08,08,8,21327,NA,NA,NA,01,2,,
03531321,01,25682.848,95000,1,2,16,,36,NA,1,NA,1,NA,2,NA,9,5,2,1,16,1371.333,3451.3334,541.6667,127,230,693.3333,0,0,NA,NA,1,2,3,6,50,NA,4,2,01,,55,3,14453,NA,NA,NA,01,2,,
03531361,01,19306.839,14583,1,3,12,,79,NA,1,NA,1,NA,2,NA,8,2,3,1,12,343.667,1152.8,433.3333,75,121.8,79,0,0,NA,NA,2,1,2,5,NA,NA,8,0,,,22,7,0,NA,NA,NA,01,2,,
03531371,01,21608.87,24500,1,2,15,,53,NA,2,NA,1,NA,1,NA,7,5,4,1,15,867,2789.8334,251.3333,137,1364,11,0,0,NA,NA,4,2,1,3,40,NA,1,1,10,,04,8,-2445,NA,NA,NA,08,2,,
03531431,01,22499.511,79000,1,2,14,,63,NA,2,NA,1,NA,2,NA,9,5,2,1,14,935.167,5032.1667,615.3333,73,435.6667,97,0,0,NA,NA,1,2,2,5,40,NA,4,2,01,,27,4,11120,NA,NA,NA,06,2,,
03531451,01,23282.611,62000,1,2,15,,24,NA,1,NA,1,NA,2,NA,8,5,2,1,15,210,1196.5833,303.3333,132.6667,34.6667,46,0,0,NA,NA,4,1,2,3,40,NA,1,1,03,,27,4,11957,NA,NA,NA,07,2,,
03531461,01,23443.201,78600,1,3,16,,49,NA,1,NA,1,NA,2,NA,9,2,2,1,16,1510.333,5062,975,111,928.6667,317,0,0,NA,NA,1,2,2,12,40,NA,4,2,02,,39,3,8249,NA,NA,NA,01,2,,
03531471,01,17617.725,81000,1,1,13,12,63,53,1,2,1,1,2,2,5,1,1,1,13,1786,4802.75,541.6667,404.3333,1207.3333,114,0,0,NA,NA,4,5,2,5,40,40,3,3,10,10,36,2,4867,NA,NA,NA,06,2,,
03531531,01,17356.614,98000,1,2,15,13,37,34,1,2,1,1,2,2,1,1,4,1,15,1910,3787.0833,780,556,2.3333,109,0,0,NA,NA,1,2,1,7,40,40,2,2,03,03,06,9,13110,NA,NA,NA,01,2,,
03531541,01,21897.985,56000,1,2,14,13,55,48,1,2,1,4,2,2,1,1,4,1,14,999,4784,1213.3333,1459,0,75,0,0,NA,NA,1,2,2,2,40,40,2,2,04,04,06,9,4622,NA,NA,NA,02,2,,
03531561,02,22499.862,98200,1,1,15,16,32,32,1,2,1,1,2,2,1,1,3,1,16,1567,4063.1333,866.6667,664.3333,316,235,0,0,NA,NA,1,2,2,8,50,55,2,2,02,02,13,5,15233,NA,NA,NA,01,2,,
03531571,01,48615.368,81008,2,5,14,14,48,57,2,1,1,1,2,2,3,1,2,2,14,976.667,3541.6833,601,860.3333,426,160,0,91,NA,NA,1,3,2,6,35,42,2,2,07,11,,NA,6313,NA,NA,NA,01,2,,
