NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03442922,1,47,1,1,1,40,1,03,NA,1,1,55000,1
03442942,1,67,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03442942,2,66,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03442952,1,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442962,1,55,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03442962,2,47,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442962,3,21,1,1,2,18,1,10,NA,1,2,3000,1
03442962,4,72,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442972,1,61,2,1,2,32,1,01,NA,1,2,NA,1
03442972,2,62,1,1,1,40,3,03,NA,1,2,NA,1
03442982,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03442993,1,54,2,1,1,38,1,07,NA,1,2,NA,1
03443022,1,35,1,1,1,56,2,08,2,1,1,114000,1
03443022,2,33,2,1,1,44,2,08,2,1,1,107000,1
03443022,3,15,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03443032,1,38,1,1,1,40,1,14,NA,1,1,50000,1
03443032,2,8,1,NA,NA,NA,NA,,NA,6,NA,NA,NA
03443052,1,65,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443052,2,67,1,1,3,40,4,11,NA,1,2,67000,1
03443052,3,37,2,1,1,40,1,11,NA,1,2,NA,1
03443052,4,17,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443052,5,10,2,NA,NA,NA,NA,,6,1,NA,NA,NA
03443052,6,9,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03443052,7,6,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03443142,1,50,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03443142,2,19,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03443172,1,29,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443172,2,8,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03443172,3,29,2,1,1,35,1,03,NA,1,2,10000,1
03443184,1,41,2,1,1,40,1,04,2,1,2,1900,1
03443184,2,47,1,1,1,40,1,12,2,1,2,25000,1
03443184,3,19,2,1,4,20,1,05,2,1,2,140,1
03443184,4,16,2,2,NA,NA,NA,,2,1,NA,NA,NA
03443184,5,11,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03443192,1,82,1,1,2,30,1,12,NA,1,2,NA,1
03443222,1,62,2,1,4,12,3,10,NA,3,2,175,1
03443232,1,72,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443262,1,67,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443262,2,61,2,1,2,24,1,03,NA,1,2,NA,1
03443272,1,76,2,1,1,50,1,01,NA,1,2,70000,1
03443272,2,49,2,1,1,40,4,01,NA,1,2,50000,1
03443282,1,26,1,1,3,45,3,10,NA,1,2,25000,1
03443312,1,48,2,1,4,30,1,10,NA,1,1,8016,1
03443312,2,53,1,1,1,40,1,03,NA,1,1,64551,1
03443312,3,15,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443322,1,56,1,1,1,40,1,11,NA,1,2,46000,1
03443322,2,56,2,1,1,40,1,11,NA,1,2,37440,1
03443362,1,65,2,1,1,40,3,02,NA,4,1,63000,1
03443382,1,60,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443402,1,55,1,1,1,50,5,03,NA,2,2,280500,2
03443402,2,52,2,1,1,50,1,03,NA,2,NA,NA,1
03443412,1,61,1,1,1,40,1,01,NA,1,1,120000,1
03443412,2,60,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443432,1,35,2,1,1,40,1,10,NA,1,2,27000,1
03443432,2,38,1,1,1,40,1,07,NA,1,2,64000,1
03443432,3,12,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03443432,4,18,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443462,1,28,1,1,4,16,1,10,NA,2,1,5000,1
03443462,2,17,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03443462,3,16,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03443482,1,62,2,1,4,15,1,02,NA,1,1,4000,1
03443482,2,26,1,1,4,30,1,10,NA,1,2,2100,1
03443492,1,32,1,1,1,40,1,07,5,1,1,40000,1
03443492,2,29,2,1,1,40,1,04,5,1,2,30000,1
03443592,1,62,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443592,2,63,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443602,1,54,1,1,1,40,1,03,NA,1,2,NA,1
03443602,2,53,2,1,1,40,1,03,NA,1,2,NA,1
03443602,3,18,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443612,1,58,1,2,NA,10,6,11,NA,1,NA,NA,3
03443612,2,59,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443622,1,44,2,1,1,40,1,05,NA,1,1,NA,1
03443642,1,30,1,1,1,40,1,01,NA,1,2,25000,1
03443642,2,5,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03443662,1,70,2,2,NA,NA,NA,,4,1,NA,NA,NA
03443672,1,70,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443672,2,71,2,1,1,40,1,01,NA,1,1,32000,1
03443682,1,67,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03443692,1,60,1,1,2,25,1,05,NA,1,2,NA,1
03443692,2,66,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443702,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443712,1,61,1,1,1,50,1,11,NA,1,2,NA,1
03443712,2,62,2,1,4,23,1,10,NA,1,2,9200,1
03443732,1,41,1,1,3,35,1,11,6,1,1,17000,1
03443732,2,37,1,1,1,40,1,11,6,1,2,NA,1
03443732,3,30,2,1,3,40,1,09,6,1,2,NA,1
03443732,4,27,2,1,2,30,1,10,6,1,2,NA,1
03443732,5,15,2,2,NA,NA,NA,,6,1,NA,NA,NA
03443732,6,2,2,NA,NA,NA,NA,,6,1,NA,NA,NA
03443732,7,9,1,NA,NA,NA,NA,,6,1,NA,NA,NA
03443732,8,1,1,NA,NA,NA,NA,,6,1,NA,NA,NA
03443752,1,66,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03443782,1,59,1,1,1,50,1,10,6,1,2,38000,1
03443782,2,49,2,1,2,30,1,09,6,1,2,20000,1
03443782,3,30,1,1,1,40,1,07,6,1,2,42000,1
03443782,4,32,1,1,1,40,1,07,6,1,2,38000,1
03443792,1,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03443792,2,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03443822,1,51,2,1,1,40,1,03,NA,2,2,83000,1
03443892,1,38,1,1,1,40,1,03,NA,4,1,80000,1
03443892,2,37,2,1,1,40,1,03,NA,4,1,45000,1
03443892,3,5,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
