NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03338164,1,66,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03338164,2,66,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03338174,1,34,1,1,1,40,1,05,2,1,2,NA,1
03338174,2,33,2,1,2,15,1,10,2,1,2,NA,1
03338174,3,8,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03338174,4,2,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03338224,1,46,2,1,1,40,1,07,NA,2,2,NA,1
03338224,2,73,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03338224,3,20,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03338234,1,59,1,1,1,50,1,10,NA,1,NA,NA,1
03338234,2,57,2,1,2,13,4,09,NA,1,1,7404,1
03338234,3,37,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03338244,1,52,1,2,NA,NA,NA,,NA,6,NA,NA,NA
03338344,1,37,2,1,2,28,4,10,NA,1,2,28000,1
03338344,2,37,1,1,1,50,1,05,NA,4,2,280500,1
03338344,3,13,1,NA,NA,NA,NA,,NA,4,NA,NA,NA
03338344,4,11,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03338374,1,60,1,1,1,60,5,06,NA,1,NA,NA,2
03338374,2,62,2,1,3,36,4,02,NA,1,2,NA,1
03338374,3,24,1,1,1,40,1,11,NA,2,2,NA,1
03338374,4,24,2,2,NA,NA,NA,,6,1,NA,NA,NA
03338374,5,4,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03338374,7,22,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03338384,1,37,1,1,2,20,1,11,NA,1,2,8000,1
03338384,2,57,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03338394,1,24,1,1,3,60,1,11,NA,1,2,20000,1
03338424,1,29,1,1,1,40,2,07,2,1,2,34800,1
03338424,2,32,2,1,1,40,2,07,NA,3,1,34800,1
03338424,3,38,1,1,1,40,1,01,2,1,2,NA,1
03338424,4,7,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03338424,5,6,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03338434,1,25,1,1,1,40,1,01,NA,1,2,33000,1
03338434,2,26,2,1,1,40,1,10,NA,1,2,29000,1
03338444,1,54,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03338444,2,53,2,1,1,40,1,01,NA,1,2,NA,1
03338534,1,39,2,1,4,7,3,10,1,1,2,70,1
03338534,2,42,1,1,1,72,1,01,1,1,2,NA,1
03338534,3,7,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03338534,4,4,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03338544,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03338584,1,45,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03338624,1,61,1,1,3,45,1,11,NA,1,1,1875,1
03338634,1,57,1,1,1,50,3,03,NA,1,2,85000,1
03338634,2,22,2,1,1,55,5,03,NA,1,NA,NA,2
03338664,1,47,1,1,1,40,3,04,NA,2,2,NA,1
03338674,1,35,2,1,1,50,1,05,NA,1,NA,NA,1
03338674,2,2,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03338694,2,28,2,1,1,40,1,10,5,1,2,NA,1
03338694,3,30,1,1,1,40,1,10,5,1,2,NA,1
03338694,4,3,2,NA,NA,NA,NA,,5,1,NA,NA,NA
03338694,5,0,1,NA,NA,NA,NA,,5,1,NA,NA,NA
03338704,1,31,2,1,3,56,1,03,1,1,2,280500,1
03338704,2,35,1,1,1,56,1,03,1,1,2,280500,1
03338704,3,0,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03338734,1,34,2,1,1,40,1,03,NA,1,1,80000,1
03338734,2,36,1,1,1,50,1,03,NA,1,1,75000,1
03338734,3,5,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03338754,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03338774,1,66,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03338774,2,60,2,1,1,40,1,05,NA,2,2,18000,1
03338774,3,38,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03338794,1,65,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03338804,1,71,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03338804,2,69,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03338834,1,27,1,1,1,60,1,03,NA,1,1,150000,1
03338834,2,27,2,1,1,50,1,03,NA,3,1,98000,1
03338854,1,81,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03338854,2,75,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03338864,1,66,2,1,4,32,1,05,NA,1,2,42000,1
03338864,2,60,1,1,3,45,1,06,NA,1,2,NA,1
03338884,1,42,2,1,1,40,1,01,NA,1,2,64000,1
03338884,2,45,1,1,1,40,1,07,NA,1,2,NA,1
03338894,1,47,1,1,1,40,4,10,NA,2,2,NA,1
03338894,2,47,2,2,NA,NA,NA,,NA,3,NA,NA,NA
03338894,3,14,2,2,NA,NA,NA,,NA,6,NA,NA,NA
03338894,4,11,2,NA,NA,NA,NA,,NA,6,NA,NA,NA
03338894,5,8,2,NA,NA,NA,NA,,NA,6,NA,NA,NA
03338904,1,63,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03338924,1,33,1,1,1,50,1,10,2,1,2,40000,1
03338924,2,24,2,2,NA,NA,NA,,NA,3,NA,NA,NA
03338924,3,1,1,NA,NA,NA,NA,,2,3,NA,NA,NA
03338944,1,50,1,1,1,38,1,01,NA,1,2,74000,1
03338974,1,68,2,1,2,23,3,11,NA,1,1,22000,1
03338974,2,68,1,1,4,24,1,12,NA,1,1,12413,1
03339054,1,74,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339054,2,73,1,1,1,40,1,03,NA,1,2,280500,1
03339104,1,29,2,1,2,30,1,10,NA,1,1,18000,1
03339114,1,45,2,1,1,35,1,01,NA,1,NA,NA,1
03339114,2,38,1,1,1,40,1,06,NA,1,NA,NA,1
03339134,1,74,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03339134,2,66,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03339164,1,23,2,1,1,40,1,06,NA,2,2,NA,1
03339164,2,48,2,1,2,20,1,06,NA,2,2,NA,1
03339184,1,35,2,1,1,50,1,04,NA,1,2,26000,1
03339184,2,35,1,1,3,60,1,07,NA,1,2,9600,1
03339184,3,2,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03339204,1,51,2,1,1,45,5,10,NA,1,2,NA,2
03339204,2,20,1,1,3,40,5,12,NA,1,NA,NA,2
03339204,3,19,1,1,2,25,1,12,NA,1,NA,NA,1
03339224,1,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339224,2,64,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03339234,1,53,2,1,1,40,1,01,NA,2,2,32000,1
03339234,2,27,2,1,1,40,1,04,NA,2,2,24000,1
03339304,1,29,1,1,1,40,1,03,NA,1,2,48000,1
03339304,2,28,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339304,3,3,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03339304,4,0,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03339354,1,45,2,1,1,40,1,04,NA,1,2,39600,1
03339354,2,41,1,1,1,50,1,05,NA,1,2,49400,1
03339354,3,18,2,1,4,15,1,10,NA,1,2,5000,1
03339384,1,62,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03339384,2,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339404,1,23,2,1,3,35,3,02,NA,4,2,40000,1
03339404,2,58,1,1,1,40,1,11,NA,4,2,35000,1
03339404,3,54,2,1,4,20,1,02,NA,4,2,12000,1
03339404,4,32,1,1,1,40,1,10,NA,4,2,45000,1
03339404,5,14,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03339414,1,81,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339424,1,62,2,1,1,40,5,03,NA,1,NA,NA,2
03339434,1,49,1,1,3,48,1,01,NA,1,2,NA,1
03339444,1,52,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03339444,2,50,2,1,1,40,5,04,NA,1,NA,NA,2
03339444,3,60,2,1,3,40,1,10,NA,1,NA,NA,1
03339444,4,21,2,1,3,40,1,11,NA,1,NA,NA,1
03339484,1,23,1,1,1,50,1,11,NA,2,2,40000,1
03339484,2,24,2,1,1,40,4,10,NA,2,2,12000,1
03339484,3,1,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03339484,4,3,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03339504,1,58,1,1,1,40,1,12,NA,1,2,NA,1
03339514,1,66,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03339534,1,63,2,1,3,40,5,03,NA,2,2,NA,2
03339554,1,35,2,1,1,40,1,10,1,1,2,NA,1
03339554,2,5,1,NA,NA,NA,NA,,1,1,NA,NA,NA
03339584,1,79,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03339584,3,19,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03339614,1,67,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03339614,2,65,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339634,1,56,2,1,1,40,1,03,NA,1,2,40000,1
03339634,2,61,1,1,3,60,4,03,NA,1,2,12000,1
03339634,3,16,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03339634,4,21,1,1,1,40,1,10,NA,1,2,NA,1
03339634,5,19,2,1,4,25,1,10,NA,6,2,NA,1
03339644,1,51,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339644,2,38,1,1,1,50,1,12,NA,1,2,33600,1
03339644,3,24,1,1,3,40,1,12,NA,1,2,NA,1
03339654,1,49,2,2,NA,NA,NA,,4,1,NA,NA,NA
03339654,2,50,1,1,1,40,1,03,4,1,2,150000,1
03339704,1,62,1,1,1,40,1,10,NA,1,2,NA,1
03339704,2,63,2,1,3,40,4,02,5,1,2,NA,1
03339724,1,47,2,1,2,27,1,03,NA,1,1,20000,1
03339724,2,50,1,1,1,50,1,03,NA,1,1,108000,1
03339724,3,16,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339724,4,14,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03339754,1,58,1,1,2,25,1,11,NA,1,NA,NA,1
03339774,1,40,1,1,1,40,1,03,NA,1,2,NA,1
03339774,2,39,2,1,1,40,1,03,NA,1,2,NA,1
03339774,3,1,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03339814,1,63,2,2,NA,NA,NA,,NA,4,NA,NA,NA
03339814,2,56,1,1,1,40,2,03,NA,1,2,280500,1
03339884,1,67,2,2,NA,NA,NA,,6,1,NA,NA,NA
03339894,1,31,2,1,3,40,1,10,6,1,2,8000,1
03339894,2,10,1,NA,NA,NA,NA,,6,1,NA,NA,NA
03339894,3,58,2,1,1,36,1,03,6,1,2,100000,1
03339904,1,54,1,1,1,40,3,11,2,1,2,30000,1
03339904,2,52,2,1,1,40,3,04,2,1,2,26400,1
03339904,3,28,1,1,1,40,3,04,2,1,2,24000,1
03339904,4,16,1,1,4,5,1,10,2,1,2,225,1
03339924,1,49,2,1,1,40,1,05,NA,1,1,37000,1
03339964,1,47,2,1,1,50,1,11,1,1,NA,NA,1
03339964,2,18,1,2,NA,NA,NA,,1,1,NA,NA,NA
03339964,3,49,1,1,1,52,1,11,1,1,1,70000,1
03339964,4,12,1,NA,NA,NA,NA,,1,1,NA,NA,NA
03339974,1,75,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03339984,1,80,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03339984,2,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340004,1,63,2,1,1,40,5,11,NA,1,NA,NA,2
03340004,2,63,1,1,3,72,5,11,NA,1,NA,NA,2
03340014,1,57,1,1,1,40,1,07,NA,1,2,35000,1
03340014,2,56,2,1,1,40,1,04,NA,1,2,30000,1
03340034,1,37,2,1,1,40,1,01,NA,2,2,38000,1
03340034,2,38,1,1,1,55,1,07,NA,2,2,46000,1
03340034,3,16,2,1,4,20,1,10,NA,2,2,NA,1
03340034,4,18,1,1,4,32,1,10,NA,2,2,600,1
03340034,5,12,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03340034,6,16,1,1,4,30,1,10,NA,2,2,220,1
03340044,1,57,1,1,1,50,1,01,NA,1,2,280500,1
03340044,2,54,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340044,3,15,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340064,1,43,2,1,1,40,4,03,NA,6,2,89000,1
03340094,1,41,1,1,1,55,1,12,NA,1,2,NA,1
03340094,2,34,2,1,1,50,1,03,NA,1,2,34000,1
03340094,3,13,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340094,4,10,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340104,1,53,1,1,1,45,1,03,NA,2,1,81000,1
03340104,2,52,2,1,3,40,1,03,NA,2,2,9000,1
03340124,1,61,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340154,1,64,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340154,2,4,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340154,3,46,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340174,1,49,2,1,1,40,1,10,NA,1,2,60000,1
03340174,2,53,1,1,3,70,1,12,NA,1,1,80000,1
03340174,3,18,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340194,1,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340194,2,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340204,1,26,2,1,4,20,1,04,NA,1,2,NA,1
03340204,2,2,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340224,1,30,2,1,2,30,1,04,2,1,2,25000,1
03340224,2,30,1,1,1,40,1,11,1,1,2,16000,1
03340224,3,8,2,NA,NA,NA,NA,,2,1,NA,NA,NA
03340224,4,15,1,2,NA,NA,NA,,2,1,NA,NA,NA
03340244,1,52,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340244,2,24,2,1,1,40,1,10,NA,1,2,22000,1
03340244,3,24,2,1,1,39,1,10,NA,1,2,16600,1
03340264,1,54,1,1,3,40,4,08,NA,1,2,80000,1
03340264,2,56,2,1,1,40,1,03,NA,1,2,45000,1
03340284,1,63,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340284,2,58,2,1,3,40,3,02,NA,1,2,21600,1
03340304,1,56,2,1,1,40,1,11,NA,1,NA,NA,1
03340334,1,18,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340334,2,0,2,NA,NA,NA,NA,,NA,6,NA,NA,NA
03340344,1,65,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340344,2,67,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340364,1,60,2,1,1,50,1,01,NA,1,1,NA,1
03340374,1,34,1,1,1,56,2,10,2,1,2,42000,1
03340374,2,31,2,1,3,40,1,07,1,1,2,35000,1
03340374,3,3,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03340384,1,54,2,1,1,35,5,10,NA,1,2,45000,2
03340384,2,53,1,1,1,40,1,06,NA,1,2,45000,1
03340384,4,22,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340394,1,53,1,1,1,40,1,07,NA,1,2,NA,1
03340394,2,53,2,1,1,40,1,11,NA,1,2,NA,1
03340414,1,53,2,1,2,18,1,05,NA,1,2,12683,1
03340414,2,54,1,1,1,40,1,11,NA,1,1,48464,1
03340414,3,32,1,1,1,35,1,10,NA,1,2,18200,1
03340434,1,69,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340434,2,69,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340434,3,16,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340454,1,33,2,1,4,15,1,02,NA,1,2,10000,1
03340454,2,32,1,1,1,50,1,03,NA,1,2,72000,1
03340454,3,12,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340454,4,10,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340454,5,7,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340454,6,5,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340454,7,3,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340454,8,0,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340464,1,82,1,1,4,30,1,12,NA,1,2,50000,1
03340464,2,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340484,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340484,2,82,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340504,1,62,1,1,1,40,1,11,1,1,2,50000,1
03340504,2,48,2,2,NA,NA,NA,,1,1,NA,NA,NA
03340544,1,62,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03340544,2,65,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03340564,1,54,1,1,1,40,1,07,2,1,2,80000,1
03340564,2,51,2,2,NA,NA,NA,,2,1,NA,NA,NA
03340574,1,73,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03340574,2,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340604,1,51,1,1,1,40,1,12,NA,1,2,115000,1
03340604,2,30,2,1,3,40,1,04,NA,1,2,37000,1
03340604,3,10,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340634,1,52,1,1,1,50,1,08,NA,1,2,27000,1
03340654,1,31,1,1,2,20,1,01,NA,1,2,NA,1
03340664,1,43,2,1,4,30,1,11,1,1,2,NA,1
03340664,2,16,2,2,NA,NA,NA,,2,1,NA,NA,NA
03340664,3,12,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03340674,1,54,2,1,1,40,5,10,NA,1,NA,NA,2
03340674,3,24,2,1,1,40,1,13,NA,1,2,NA,1
03340674,4,24,1,1,1,40,1,12,NA,1,2,NA,1
03340684,1,66,2,2,NA,NA,NA,,NA,6,NA,NA,NA
03340684,2,66,1,1,1,40,1,01,NA,6,2,NA,1
03340694,1,82,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340694,2,59,2,1,1,40,1,07,NA,1,2,NA,1
03340694,3,58,1,1,3,40,1,03,NA,1,2,NA,1
03340694,4,25,1,1,3,40,1,11,NA,1,2,NA,1
03340704,1,40,2,1,1,36,1,04,NA,1,2,20000,1
03340704,2,40,1,1,1,40,1,07,NA,1,2,52000,1
03340704,3,14,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03340704,4,9,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03340734,1,51,1,1,1,40,1,10,NA,4,2,20000,1
03340734,2,49,2,1,1,40,1,10,NA,4,2,18000,1
03340734,3,21,2,1,2,20,1,10,NA,4,2,10000,1
03340754,1,42,1,1,1,40,1,07,NA,2,1,30000,1
03340754,2,38,2,1,1,40,1,10,NA,2,2,20000,1
03340754,3,6,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03340754,4,4,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03340764,1,65,2,1,3,38,3,02,NA,1,2,75000,1
03340784,1,41,1,1,1,50,1,10,NA,1,2,280500,1
03340804,1,33,1,1,1,40,1,11,NA,1,1,16000,1
03340824,1,38,2,1,3,60,5,02,NA,2,2,NA,2
03340824,2,15,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03340824,3,22,2,1,4,32,1,03,NA,2,2,NA,1
03340824,4,20,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03340924,1,63,1,1,1,40,3,02,NA,1,1,52550,1
03340964,1,47,2,1,3,44,1,03,NA,1,2,NA,1
03340964,2,16,2,1,4,32,1,04,NA,1,2,NA,1
03340974,1,27,2,1,1,45,1,03,NA,1,1,NA,1
03340974,2,28,1,1,1,40,1,03,NA,1,1,NA,1
03340984,1,59,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341004,1,37,1,1,1,60,1,11,1,1,2,45000,1
03341004,2,37,2,2,NA,NA,NA,,1,1,NA,NA,NA
03341004,3,12,1,NA,NA,NA,NA,,1,1,NA,NA,NA
03341004,5,10,2,NA,NA,NA,NA,,1,1,NA,NA,NA
03341044,1,33,1,1,1,40,1,06,NA,1,2,NA,1
03341044,2,38,2,1,1,35,5,06,NA,1,2,10000,2
03341044,3,17,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341064,1,76,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341094,1,27,2,1,1,40,1,01,NA,6,2,48000,1
03341104,2,72,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341114,1,60,2,1,3,46,1,06,NA,1,2,11000,1
03341114,2,67,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341144,1,49,1,1,1,40,5,10,NA,1,NA,NA,2
03341194,1,39,2,1,2,28,1,05,NA,1,NA,NA,1
03341194,2,39,1,1,2,12,1,05,NA,1,NA,NA,1
03341194,3,1,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341194,4,4,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341214,1,51,2,1,3,40,1,03,NA,1,2,25000,1
03341214,2,54,1,1,1,40,1,11,NA,1,2,38000,1
03341214,3,23,1,1,1,37,1,11,NA,1,2,13856,1
03341214,4,19,1,1,2,33,1,10,NA,1,2,22085,1
03341214,5,11,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341224,1,28,2,1,4,20,1,10,NA,1,2,18000,1
03341244,1,71,2,1,1,40,1,05,NA,4,2,20000,1
03341244,3,43,1,1,1,40,2,10,NA,4,1,40000,1
03341244,4,13,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
03341244,5,12,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
03341244,6,7,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
03341404,1,69,2,1,2,20,1,05,NA,1,2,NA,1
03341404,2,70,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341434,1,29,2,1,2,30,1,10,NA,1,2,26000,1
03341454,1,38,1,1,1,40,1,11,1,1,2,20000,1
03341454,2,37,2,2,NA,NA,NA,,2,1,NA,NA,NA
03341454,3,16,2,2,NA,NA,NA,,1,1,NA,NA,NA
03341454,4,14,2,2,NA,NA,NA,,2,1,NA,NA,NA
03341454,5,10,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03341464,1,56,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341464,2,50,2,1,1,40,1,10,NA,1,2,7500,1
03341474,1,44,2,1,1,70,2,03,NA,1,2,NA,1
03341474,2,39,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341484,1,50,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03341484,2,27,1,1,1,40,1,05,6,2,2,NA,1
03341484,3,20,2,1,3,40,1,05,NA,6,2,NA,1
03341494,1,64,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341494,2,63,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341504,1,63,2,1,1,40,1,10,NA,4,2,NA,1
03341514,1,41,1,1,3,60,5,10,NA,1,NA,NA,2
03341564,1,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341574,1,53,2,2,NA,NA,NA,,1,1,NA,NA,NA
03341574,2,34,2,2,NA,NA,NA,,1,1,NA,NA,NA
03341614,1,78,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341614,2,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341624,1,60,2,1,3,47,4,07,NA,1,1,NA,1
03341634,1,55,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341634,2,55,2,1,1,45,1,01,NA,1,2,280500,1
03341644,1,52,1,1,3,40,5,03,NA,1,1,87900,2
03341674,1,79,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341684,1,60,1,1,1,44,1,10,NA,2,2,24000,1
03341714,1,37,2,1,1,40,1,03,NA,2,2,30000,1
03341814,1,51,1,1,1,60,1,01,6,1,2,58000,1
03341814,2,48,2,1,3,40,1,01,NA,1,2,60000,1
03341814,3,12,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341814,4,16,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341844,1,39,2,1,4,11,1,03,NA,1,2,6000,1
03341844,2,39,1,1,1,40,1,03,NA,1,2,100000,1
03341844,3,12,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341844,4,9,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341844,5,8,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341844,6,4,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03341904,1,49,2,1,1,50,1,01,NA,1,2,76000,1
03341904,2,58,1,1,3,40,1,06,NA,1,2,3000,1
03341904,3,20,1,1,2,30,1,11,NA,1,2,12000,1
03341914,1,73,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03341914,2,71,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03341934,1,27,1,1,1,45,1,03,2,1,1,NA,1
03341934,2,27,2,2,NA,NA,NA,,2,1,NA,NA,NA
03341934,3,4,1,NA,NA,NA,NA,,2,1,NA,NA,NA
03341964,1,38,2,1,1,37,1,10,NA,1,1,NA,1
03341974,1,49,1,1,1,40,1,11,NA,1,2,73000,1
03341984,1,36,2,1,4,34,1,07,6,1,2,24500,1
03341984,2,38,1,1,1,40,1,10,6,1,2,30000,1
03341994,1,51,1,1,1,40,2,03,NA,1,2,NA,1
03342034,1,42,2,1,1,40,5,10,1,1,NA,NA,2
03342034,2,8,2,NA,NA,NA,NA,,1,1,NA,NA,NA
03342034,3,10,1,NA,NA,NA,NA,,1,1,NA,NA,NA
03342034,4,18,2,1,4,24,1,05,1,1,2,2880,1
03342084,1,62,1,1,4,20,1,07,NA,1,2,50000,1
03342084,2,53,1,1,1,55,1,01,NA,1,2,280500,1
03342084,3,35,2,1,1,50,1,04,NA,1,2,NA,1
03342114,1,59,1,1,1,50,1,01,NA,1,2,120000,1
03342124,1,76,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03342124,2,80,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03342134,1,58,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03342144,1,23,2,1,1,45,1,05,NA,2,2,800,1
03342184,1,42,1,1,1,40,1,10,NA,4,1,29300,1
03342184,2,34,2,1,3,40,1,10,NA,4,1,3995,1
03342184,3,6,2,NA,NA,NA,NA,,NA,4,NA,NA,NA
03342194,1,52,2,1,1,43,1,04,NA,1,2,65000,1
03342194,2,76,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03342244,1,45,1,1,1,55,1,07,NA,2,2,NA,1
03342244,2,44,2,1,1,40,1,01,NA,1,2,NA,1
03342244,3,9,2,NA,NA,NA,NA,,NA,6,NA,NA,NA
03342244,4,12,2,NA,NA,NA,NA,,NA,6,NA,NA,NA
03342264,1,70,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03342264,2,34,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03342264,3,16,1,1,4,10,1,05,NA,1,2,NA,1
03342264,4,14,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03342264,5,7,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03342274,1,87,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03342274,2,87,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03342284,1,66,1,1,1,40,1,01,NA,1,1,95000,1
03342284,2,68,2,2,NA,NA,NA,,NA,1,NA,NA,NA
